Entrevistado,Grupo,Intrinsic,Monetary,Law,Nature,Market,Health,Preservation,Human,Landscape,Membership,Area,Seedlings,Counterparts,Tourism,Technical,Contact,Trust,Products
J1,Juss,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
J2,Juss,N,S,N,N,S,N,S,S,N,N,N,N,N,N,N,N,N,N
J3,Juss,S,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
J4,Juss,N,S,N,S,S,N,S,N,N,N,N,N,N,N,N,N,N,N
J5,Juss,N,S,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N
J6,Juss,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
J7,Juss,N,S,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N
J8,Juss,N,N,N,S,S,N,S,S,N,S,S,N,N,N,N,N,N,N
J9,Juss,N,N,N,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N
J10,Juss,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
J11,Juss,N,S,N,S,S,N,N,N,N,N,N,S,N,N,N,N,N,N
J12,Juss,N,N,N,S,S,N,S,S,N,N,N,S,S,N,N,N,N,N
J13,Juss,N,S,N,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N
J14,Juss,S,S,N,S,S,N,N,N,N,S,N,N,S,N,N,N,N,N
J15,Juss,S,S,N,S,S,S,S,N,N,N,N,N,S,N,N,N,N,N
J16,Juss,S,S,N,S,N,N,S,N,N,S,N,N,N,N,N,N,N,N
J17,Juss,N,N,S,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N
J18,Juss,N,S,N,S,S,N,N,N,S,N,N,N,N,S,N,N,N,N
J19,Juss,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
J20,Juss,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C1,Conex,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,N,N,N
C2,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
C3,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N
C4,Conex,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C5,Conex,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
C6,Conex,S,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N
C7,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S
C8,Conex,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C9,Conex,S,S,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N
C10,Conex,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N
C11,Conex,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C12,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S
C13,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
C14,Conex,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N
C15,Conex,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N
C16,Conex,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C17,Conex,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N
C18,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
C19,Conex,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
C20,Conex,S,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
